,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
410,2020,10,46,0.19325,0.7642,0.0,0.11300000000000002,1.895,2.8699999999999997,,,,,
411,2020,10,47,0.029737142857142854,0.08257142857142856,,0.0,,,,,,,
412,2020,10,48,0.012651428571428572,0.08737142857142857,,0.0,1.1098571428571427,7.082857142857143,,,,,0.22994285714285714
413,2020,10,49,0.024817142857142854,0.1134142857142857,,0.0,0.6934285714285714,1.7015714285714283,,,,,0.0312
414,2020,10,50,0.027214285714285715,0.2051428571428571,,0.0,2.080428571428571,6.05,,,,,
415,2020,10,51,0.03592857142857143,0.07908571428571429,,0.00023857142857142854,0.12228571428571429,75.85714285714286,,,,,0.0
416,2020,10,53,0.559,2.4977142857142858,0.03591428571428572,0.26,15.762857142857143,57.214285714285715,,,,,0.12784285714285715
417,2020,10,54,,,,,0.0558,0.06975,,,,,0.0
418,2020,10,55,0.020694285714285714,0.058885714285714284,,0.0,0.23472857142857143,0.7729999999999999,,,,,0.04076
419,2020,10,56,0.06713333333333334,0.21950000000000003,,0.0,1.3889999999999998,4.169,,,,,0.0
420,2020,11,1,0.22342857142857145,0.6618571428571428,,0.0,11.375714285714285,54.15714285714286,,,,,0.02622857142857143
421,2020,11,2,0.1781857142857143,0.5551428571428572,,0.0,7.234285714285714,28.57,,,,,
422,2020,11,4,0.06852857142857142,0.27885714285714286,0.0,0.0008414285714285713,8.322857142857144,30.82714285714286,,,,,0.0
423,2020,11,5,0.25014285714285717,0.7658571428571429,,0.0,1.393857142857143,5.014285714285714,,,,,0.08358571428571429
424,2020,11,6,0.2564285714285714,1.417857142857143,0.004907142857142858,0.02425714285714286,2.7725714285714287,11.474285714285713,,,,,0.016894285714285716
425,2020,11,8,0.5358571428571429,2.511428571428571,0.007164285714285714,0.03898571428571429,5.5842857142857145,19.052857142857142,,,,,0.011103333333333333
426,2020,11,9,0.43599999999999994,1.4040000000000001,0.05453333333333332,0.01660142857142857,10.928571428571429,34.22142857142857,,,,,0.39925
427,2020,11,10,0.3452857142857143,1.1937142857142857,,0.0,9.364285714285714,24.05857142857143,,,,,
428,2020,11,11,0.6868571428571428,3.2214285714285715,,0.0028857142857142857,4.797142857142857,16.505714285714284,,,,,
429,2020,11,12,0.21734285714285712,0.7828571428571429,0.0031364285714285717,0.01937142857142857,20.59714285714286,74.62857142857142,,,,,0.024892857142857144
430,2020,11,13,0.31671428571428567,1.1734285714285715,0.008334285714285714,0.02364,2.641428571428572,9.278571428571428,,,,,0.21227142857142858
431,2020,11,15,0.2045857142857143,0.7158571428571429,,0.0,6.659142857142858,16.880000000000003,,,,,0.6931428571428571
432,2020,11,16,0.1645142857142857,0.4625714285714285,,0.0,3.07,14.224285714285713,,,,,0.05735714285714285
433,2020,11,17,0.35272857142857145,1.1707142857142858,0.00804,0.005962857142857143,2.6994285714285717,10.272857142857143,,,,,0.007568571428571429
434,2020,11,18,0.09545714285714287,0.39042857142857146,0.011415999999999999,0.013955714285714285,5.928571428571429,20.228571428571428,,,,,0.09490000000000001
435,2020,11,19,0.11582857142857142,0.7795714285714286,,0.0,1.2447142857142859,4.441428571428572,,,,,0.008402857142857142
436,2020,11,20,0.12395714285714288,0.4665714285714286,0.0007,0.0308,1.5472857142857142,6.9799999999999995,,,,,0.08681428571428572
437,2020,11,21,0.10730000000000002,0.5239999999999999,0.004402,0.012798571428571428,1.1634285714285715,5.138571428571429,,,,,0.03017142857142857
